# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
cenario,nome_mix,n_clientes,janela_dias,horizonte_dias,descricao,spread_bps,tarifa_fixa_brl,carry_bps,iof_bens_servicos_out_bps,iof_ativos_virtuais_out_bps,n_sementes,economia_estressada_bps_p10,economia_estressada_bps_p50,economia_estressada_bps_p90,fracao_economia_positiva
base_hipotetica,equilibrado,8,1,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,114.664591,126.211607,136.512447,1.000000
sem_spread,equilibrado,8,1,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,95.799256,106.248981,115.760344,1.000000
sem_tarifa_fixa,equilibrado,8,1,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,113.596761,125.216508,135.498647,1.000000
iof_incerto_zero,equilibrado,8,1,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,54.924641,64.400314,73.845923,1.000000
piso_sem_componentes_incertos,equilibrado,8,1,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,34.113786,43.047239,52.480520,1.000000
carry_25bps,equilibrado,8,1,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,98.732808,109.514045,119.107354,1.000000
combinado_severo,equilibrado,8,1,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,17.650649,26.645828,35.924088,1.000000
sem_carry,equilibrado,8,1,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,117.766719,129.294448,139.919219,1.000000
base_hipotetica,equilibrado,8,7,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,116.754075,127.617196,138.138598,1.000000
sem_spread,equilibrado,8,7,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,97.433979,107.527241,116.928256,1.000000
sem_tarifa_fixa,equilibrado,8,7,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,115.732115,126.621195,137.117250,1.000000
iof_incerto_zero,equilibrado,8,7,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,54.820401,64.040339,73.752345,1.000000
piso_sem_componentes_incertos,equilibrado,8,7,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,34.071655,42.487244,52.058266,1.000000
carry_25bps,equilibrado,8,7,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,100.702189,110.799913,120.303476,1.000000
combinado_severo,equilibrado,8,7,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,17.371510,25.710804,35.286571,1.000000
sem_carry,equilibrado,8,7,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,119.950335,130.949032,141.587474,1.000000
base_hipotetica,equilibrado,12,1,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,111.984793,123.143135,133.944207,1.000000
sem_spread,equilibrado,12,1,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,92.085357,102.712535,112.195457,1.000000
sem_tarifa_fixa,equilibrado,12,1,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,110.742673,121.908735,132.751127,1.000000
iof_incerto_zero,equilibrado,12,1,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,69.417729,79.246898,89.827991,1.000000
piso_sem_componentes_incertos,equilibrado,12,1,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,48.049112,57.591022,67.480036,1.000000
carry_25bps,equilibrado,12,1,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,95.110528,106.017827,115.675257,1.000000
combinado_severo,equilibrado,12,1,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,31.090104,40.598742,49.815929,1.000000
sem_carry,equilibrado,12,1,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,114.908861,126.412031,137.488533,1.000000
base_hipotetica,equilibrado,12,7,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,113.311514,124.791119,135.462320,1.000000
sem_spread,equilibrado,12,7,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,93.778574,104.010059,113.606023,1.000000
sem_tarifa_fixa,equilibrado,12,7,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,112.033234,123.437888,134.122920,1.000000
iof_incerto_zero,equilibrado,12,7,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,68.710214,78.562253,88.904228,1.000000
piso_sem_componentes_incertos,equilibrado,12,7,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,47.427940,56.777966,66.447261,1.000000
carry_25bps,equilibrado,12,7,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,96.873340,107.418785,117.103123,1.000000
combinado_severo,equilibrado,12,7,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,30.592329,39.434262,48.951798,1.000000
sem_carry,equilibrado,12,7,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,116.389514,128.001691,138.994320,1.000000
base_hipotetica,retail_pesado,8,1,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,108.912975,122.649312,135.100100,1.000000
sem_spread,retail_pesado,8,1,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,96.931531,108.984760,120.004475,1.000000
sem_tarifa_fixa,retail_pesado,8,1,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,103.227295,117.109470,129.822300,1.000000
iof_incerto_zero,retail_pesado,8,1,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,70.518971,80.498911,88.780368,1.000000
