# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_produto_bps_p10,economia_produto_bps_p50,economia_produto_bps_p90,iof_evitado_bps_p10,iof_evitado_bps_p50,iof_evitado_bps_p90,spread_evitado_bps_p10,spread_evitado_bps_p50,spread_evitado_bps_p90,fixo_evitado_bps_p10,fixo_evitado_bps_p50,fixo_evitado_bps_p90,carry_criado_bps_p10,carry_criado_bps_p50,carry_criado_bps_p90,espera_criada_bps_p10,espera_criada_bps_p50,espera_criada_bps_p90,participacao_iof_p10,participacao_iof_p50,participacao_iof_p90,participacao_spread_p10,participacao_spread_p50,participacao_spread_p90,participacao_fixo_p10,participacao_fixo_p50,participacao_fixo_p90,participacao_carry_p10,participacao_carry_p50,participacao_carry_p90,delta_bps_por_1bp_spread_p10,delta_bps_por_1bp_spread_p50,delta_bps_por_1bp_spread_p90,delta_bps_por_1real_fixo_p10,delta_bps_por_1real_fixo_p50,delta_bps_por_1real_fixo_p90,delta_bps_por_1bp_carry_p10,delta_bps_por_1bp_carry_p50,delta_bps_por_1bp_carry_p90
equilibrado,2,1,365,300,82.289505,99.572762,119.311661,72.500503,87.910558,105.002147,11.442478,13.701269,15.927388,0.409188,0.481147,0.555732,-2.548382,-2.189721,-1.830796,0.000000,0.000000,0.000000,0.866849,0.881810,0.889735,0.125737,0.135125,0.151966,0.004197,0.004868,0.005672,-0.024315,-0.021601,-0.020118,0.457699,0.548051,0.637096,0.010230,0.012029,0.013893,-0.637095,-0.547430,-0.457699
equilibrado,2,7,365,300,82.429087,100.774263,120.017276,72.608341,88.763968,105.665602,11.532262,13.756832,15.981068,0.417576,0.486100,0.568375,-2.556971,-2.200878,-1.845162,0.000000,0.000000,0.000000,0.867406,0.882473,0.889839,0.125610,0.134081,0.151411,0.004208,0.004875,0.005693,-0.024226,-0.021439,-0.020098,0.461290,0.550273,0.639243,0.010439,0.012153,0.014209,-0.639243,-0.550220,-0.461291
equilibrado,3,1,365,300,52.272722,63.307457,76.687274,40.184871,50.256342,62.153398,13.155512,15.032239,17.127426,0.385165,0.426398,0.481097,-2.740388,-2.404548,-2.104882,0.000000,0.000000,0.000000,0.764619,0.795466,0.820474,0.206855,0.235822,0.271533,0.005770,0.006779,0.007959,-0.043445,-0.037704,-0.033097,0.526220,0.601290,0.685097,0.009629,0.010660,0.012027,-0.685097,-0.601137,-0.526221
equilibrado,3,7,365,300,54.983013,66.962596,79.468753,42.796213,53.911013,64.918984,13.377999,15.223321,17.343597,0.401625,0.440244,0.495350,-2.774976,-2.431422,-2.140480,0.000000,0.000000,0.000000,0.776024,0.803933,0.825498,0.201003,0.226101,0.258686,0.005609,0.006626,0.007758,-0.041390,-0.036135,-0.032161,0.535120,0.608933,0.693744,0.010041,0.011006,0.012384,-0.693744,-0.607856,-0.535120
equilibrado,4,1,365,300,73.808543,86.101464,99.890203,59.386655,70.692370,82.825103,16.047009,17.751713,19.415802,0.440312,0.482461,0.539441,-3.106528,-2.836719,-2.567522,0.000000,0.000000,0.000000,0.798450,0.821662,0.840235,0.184189,0.205575,0.232187,0.004897,0.005728,0.006462,-0.037150,-0.032886,-0.029470,0.641880,0.710069,0.776632,0.011008,0.012062,0.013486,-0.776632,-0.709180,-0.641880
equilibrado,4,7,365,300,77.831872,89.917148,102.442190,63.096406,74.346000,85.956007,16.179647,17.977939,19.646279,0.456183,0.499980,0.553998,-3.143405,-2.874479,-2.588744,0.000000,0.000000,0.000000,0.808109,0.826443,0.845111,0.178772,0.199410,0.221696,0.004878,0.005689,0.006326,-0.035471,-0.031894,-0.028604,0.647186,0.719118,0.785851,0.011405,0.012500,0.013850,-0.785851,-0.718620,-0.647186
equilibrado,6,1,365,300,96.839883,110.494590,123.501626,81.135897,93.567105,106.021134,16.646627,18.475333,20.373422,1.043214,1.160272,1.295012,-3.259748,-2.952629,-2.663460,0.000000,0.000000,0.000000,0.836565,0.849032,0.859284,0.155946,0.167190,0.181358,0.009164,0.010597,0.012596,-0.029017,-0.026721,-0.024951,0.665865,0.739013,0.814937,0.026080,0.029007,0.032375,-0.814937,-0.738157,-0.665865
equilibrado,6,7,365,300,98.499400,112.146175,125.012143,82.841228,95.040160,107.271103,16.734146,18.569310,20.544657,1.050830,1.172937,1.307024,-3.287145,-2.969249,-2.677464,0.000000,0.000000,0.000000,0.837954,0.850409,0.860370,0.154744,0.165912,0.180020,0.009058,0.010504,0.012383,-0.028803,-0.026544,-0.024759,0.669366,0.742772,0.821786,0.026271,0.029323,0.032676,-0.821786,-0.742312,-0.669366
equilibrado,8,1,365,300,114.664591,126.211607,136.512447,97.664594,108.467323,117.988904,18.514041,19.953635,21.185354,0.977397,1.069866,1.157861,-3.389657,-3.192071,-2.962247,0.000000,0.000000,0.000000,0.850221,0.858856,0.866597,0.148954,0.157848,0.167941,0.007570,0.008463,0.009548,-0.026870,-0.025254,-0.023833,0.740562,0.798145,0.847414,0.024435,0.026747,0.028947,-0.847414,-0.798018,-0.740562
equilibrado,8,7,365,300,116.754075,127.617196,138.138598,99.684173,109.731339,119.233568,18.699329,20.125526,21.312737,0.985210,1.078329,1.165464,-3.410038,-3.219661,-2.991893,0.000000,0.000000,0.000000,0.851265,0.859744,0.867288,0.148316,0.156873,0.166865,0.007498,0.008418,0.009447,-0.026698,-0.025097,-0.023731,0.747973,0.805021,0.852509,0.024630,0.026958,0.029137,-0.852510,-0.804915,-0.747973
equilibrado,12,1,365,300,111.984793,123.143135,133.944207,93.884867,104.747009,114.482158,19.049489,20.590100,21.849454,1.167346,1.248471,1.354498,-3.495913,-3.293901,-3.047918,0.000000,0.000000,0.000000,0.840340,0.850212,0.857255,0.158214,0.166660,0.177404,0.009179,0.010221,0.011455,-0.028385,-0.026656,-0.025314,0.761980,0.823604,0.873978,0.029184,0.031212,0.033862,-0.873978,-0.823475,-0.761980
equilibrado,12,7,365,300,113.311514,124.791119,135.462320,95.678399,106.140330,115.825025,19.118382,20.665336,21.962906,1.173678,1.255018,1.362830,-3.514065,-3.305152,-3.058941,0.000000,0.000000,0.000000,0.841503,0.850850,0.857961,0.157505,0.165790,0.176076,0.009136,0.010131,0.011333,-0.028172,-0.026506,-0.025201,0.764735,0.826613,0.878516,0.029342,0.031375,0.034071,-0.878516,-0.826288,-0.764735
equilibrado,16,1,365,300,110.741717,119.916705,129.148443,92.561655,101.188114,109.835598,19.600419,21.027098,22.165621,1.042878,1.104745,1.176652,-3.546499,-3.363143,-3.136067,0.000000,0.000000,0.000000,0.836082,0.844418,0.851548,0.166197,0.174444,0.183338,0.008432,0.009212,0.010110,-0.029334,-0.027909,-0.026591,0.784017,0.841084,0.886625,0.026072,0.027619,0.029416,-0.886625,-0.840786,-0.784017
equilibrado,16,7,365,300,112.269753,121.060769,130.627039,94.513938,102.117821,111.509064,19.654398,21.105447,22.242749,1.047222,1.109248,1.180811,-3.558840,-3.373487,-3.144704,0.000000,0.000000,0.000000,0.837393,0.845299,0.852126,0.165557,0.173186,0.182135,0.008404,0.009167,0.010060,-0.029142,-0.027697,-0.026489,0.786176,0.844218,0.889710,0.026181,0.027731,0.029520,-0.889710,-0.843372,-0.786176
equilibrado,24,1,365,300,119.863419,129.496715,139.117816,101.537714,110.508739,118.873398,20.113646,21.440617,22.665794,1.234512,1.299063,1.372471,-3.626527,-3.429602,-3.218183,0.000000,0.000000,0.000000,0.845339,0.851271,0.856511,0.159581,0.165004,0.171844,0.009134,0.010046,0.011097,-0.027495,-0.026388,-0.025533,0.804546,0.857625,0.906632,0.030863,0.032477,0.034312,-0.906632,-0.857400,-0.804546
equilibrado,24,7,365,300,120.260499,130.280129,139.674928,101.851978,110.909471,119.416144,20.116359,21.465467,22.707903,1.236934,1.301973,1.373510,-3.633264,-3.434339,-3.218617,0.000000,0.000000,0.000000,0.845887,0.851823,0.856843,0.159184,0.164576,0.171089,0.009132,0.010003,0.011093,-0.027374,-0.026325,-0.025469,0.804654,0.858619,0.908316,0.030923,0.032549,0.034338,-0.908316,-0.858585,-0.804654
equilibrado,32,1,365,300,127.114605,135.656238,143.236605,108.438130,116.090248,122.646840,20.810091,21.988660,22.974603,1.221827,1.280699,1.335867,-3.675936,-3.517134,-3.329615,0.000000,0.000000,0.000000,0.850250,0.854235,0.858358,0.157752,0.162079,0.166729,0.008766,0.009468,0.010228,-0.026677,-0.025930,-0.025240,0.832404,0.879546,0.918984,0.030546,0.032017,0.033397,-0.918984,-0.879284,-0.832404
equilibrado,32,7,365,300,127.581317,136.005353,143.525999,108.860032,116.275934,123.007944,20.834285,21.990558,22.980781,1.223319,1.281953,1.337775,-3.676925,-3.517346,-3.333486,0.000000,0.000000,0.000000,0.850699,0.854571,0.858555,0.157487,0.161695,0.166210,0.008756,0.009453,0.010182,-0.026594,-0.025858,-0.025198,0.833371,0.879622,0.919231,0.030583,0.032049,0.033444,-0.919231,-0.879336,-0.833371
