# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,volume_bruto_brl,economia_produto_bps,iof_evitado_bps,spread_evitado_bps,fixo_evitado_bps,carry_criado_bps,espera_criada_bps,participacao_iof,participacao_spread,participacao_fixo,participacao_carry,delta_bps_por_1bp_spread,delta_bps_por_1real_fixo,delta_bps_por_1bp_carry,erro_recomposicao_brl
equilibrado,2,1,365,1,109134156.41,94.428781,82.567227,13.571115,0.461817,-2.171379,0.000000,0.874386,0.143718,0.004891,-0.022995,0.542845,0.011545,-0.542845,-0.01
equilibrado,2,7,365,1,109134156.41,94.650888,82.782003,13.571115,0.469147,-2.171379,0.000000,0.874604,0.143381,0.004957,-0.022941,0.542845,0.011729,-0.542845,-0.01
equilibrado,2,1,365,2,105362708.90,99.724077,88.568559,12.728995,0.463162,-2.036639,0.000000,0.888136,0.127642,0.004644,-0.020423,0.509160,0.011579,-0.509160,0.00
equilibrado,2,7,365,2,105362708.90,99.927079,88.763968,12.728995,0.470755,-2.036639,0.000000,0.888287,0.127383,0.004711,-0.020381,0.509160,0.011769,-0.509160,0.00
equilibrado,2,1,365,3,82468612.96,102.715936,89.992434,14.523414,0.523836,-2.323746,0.000000,0.876129,0.141394,0.005100,-0.022623,0.580937,0.013096,-0.580936,0.01
equilibrado,2,7,365,3,82468612.96,104.825626,92.097273,14.523414,0.528686,-2.323746,0.000000,0.878576,0.138548,0.005043,-0.022168,0.580937,0.013217,-0.580936,0.01
equilibrado,2,1,365,4,87969702.96,122.734221,108.321077,16.481866,0.568378,-2.637099,0.000000,0.882566,0.134289,0.004631,-0.021486,0.659275,0.014209,-0.659275,0.01
equilibrado,2,7,365,4,87969702.96,122.808065,108.394920,16.481866,0.568378,-2.637099,0.000000,0.882637,0.134208,0.004628,-0.021473,0.659275,0.014209,-0.659275,0.00
equilibrado,2,1,365,5,85724644.75,100.609800,88.880464,13.341348,0.522604,-2.134616,0.000000,0.883418,0.132605,0.005194,-0.021217,0.533654,0.013065,-0.533654,-0.01
equilibrado,2,7,365,5,85724644.75,100.688295,88.954293,13.341348,0.527270,-2.134616,0.000000,0.883462,0.132501,0.005237,-0.021200,0.533654,0.013182,-0.533654,0.00
equilibrado,2,1,365,6,107641589.44,106.866729,93.636148,15.171168,0.486801,-2.427387,0.000000,0.876196,0.141963,0.004555,-0.022714,0.606847,0.012170,-0.606847,0.00
equilibrado,2,7,365,6,107641589.44,110.059205,96.458587,15.593992,0.501665,-2.495038,0.000000,0.876425,0.141687,0.004558,-0.022670,0.623760,0.012542,-0.623760,0.00
equilibrado,2,1,365,7,106129161.41,106.301271,92.015539,16.383146,0.523890,-2.621303,0.000000,0.865611,0.154120,0.004928,-0.024659,0.655326,0.013097,-0.655326,0.00
equilibrado,2,7,365,7,106129161.41,106.849401,92.518945,16.431900,0.527659,-2.629104,0.000000,0.865882,0.153786,0.004938,-0.024606,0.657276,0.013191,-0.657276,0.00
equilibrado,2,1,365,8,91659902.64,95.840859,83.034517,14.643005,0.506219,-2.342881,0.000000,0.866379,0.152785,0.005282,-0.024446,0.585720,0.012655,-0.585720,0.01
equilibrado,2,7,365,8,91659902.64,95.840859,83.034517,14.643005,0.506219,-2.342881,0.000000,0.866379,0.152785,0.005282,-0.024446,0.585720,0.012655,-0.585720,0.01
equilibrado,2,1,365,9,103974720.08,77.643994,67.305646,11.748814,0.469345,-1.879810,0.000000,0.866849,0.151316,0.006045,-0.024211,0.469953,0.011734,-0.469952,0.01
equilibrado,2,7,365,9,103974720.08,78.541871,68.114946,11.840523,0.480886,-1.894484,0.000000,0.867244,0.150754,0.006123,-0.024121,0.473621,0.012022,-0.473621,0.01
