# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_base_bps_p10,economia_base_bps_p50,economia_base_bps_p90,economia_piso_bps_p10,economia_piso_bps_p50,economia_piso_bps_p90,economia_combinada_severa_bps_p10,economia_combinada_severa_bps_p50,economia_combinada_severa_bps_p90,carry_break_even_base_bps_p10,carry_break_even_base_bps_p50,carry_break_even_base_bps_p90,carry_break_even_piso_bps_p10,carry_break_even_piso_bps_p50,carry_break_even_piso_bps_p90,spread_minimo_no_piso_bps_p10,spread_minimo_no_piso_bps_p50,spread_minimo_no_piso_bps_p90
equilibrado,8,1,365,300,114.664591,126.211607,136.512447,34.113786,43.047239,52.480520,17.650649,26.645828,35.924088,152.862227,162.392675,171.836539,47.427559,58.602637,70.155151,0.000000,0.000000,0.000000
equilibrado,8,7,365,300,116.754075,127.617196,138.138598,34.071655,42.487244,52.058266,17.371510,25.710804,35.286571,153.821295,163.378554,172.558797,46.683652,57.642883,69.144303,0.000000,0.000000,0.000000
equilibrado,12,1,365,300,111.984793,123.143135,133.944207,48.049112,57.591022,67.480036,31.090104,40.598742,49.815929,144.921146,154.057206,162.014244,63.284493,74.886725,85.727789,0.000000,0.000000,0.000000
equilibrado,12,7,365,300,113.311514,124.791119,135.462320,47.427940,56.777966,66.447261,30.592329,39.434262,48.951798,145.984556,154.906523,162.724908,62.397932,73.364003,83.988810,0.000000,0.000000,0.000000
retail_pesado,8,1,365,300,108.912975,122.649312,135.100100,52.796111,61.016970,68.597986,42.195285,49.652082,56.408909,228.015035,229.246207,230.642226,105.795304,116.500765,125.710329,0.000000,0.000000,0.000000
retail_pesado,8,7,365,300,109.107936,123.337820,136.034807,51.530931,59.924971,67.010248,40.876164,48.187093,54.868083,227.969984,229.168293,230.553857,103.264774,112.773643,123.229583,0.000000,0.000000,0.000000
retail_pesado,12,1,365,300,109.392253,120.515973,131.900058,47.952807,55.889612,62.298819,37.758556,44.626019,50.388375,229.334913,230.568253,232.101523,100.387984,108.012944,115.885565,0.000000,0.000000,0.000000
retail_pesado,12,7,365,300,109.550733,120.985733,132.395837,47.122298,54.971085,61.469771,36.995160,43.734679,49.151676,229.279072,230.545941,232.078007,97.983401,106.145123,113.939594,0.000000,0.000000,0.000000
corporativo_pesado,8,1,365,300,78.661137,93.458954,108.342611,48.139282,62.454886,77.597396,31.149405,44.813689,60.028957,101.160599,114.983612,128.173767,62.813801,78.404591,93.213238,0.000000,0.000000,0.000000
corporativo_pesado,8,7,365,300,78.396790,93.278632,108.388548,47.725408,62.472165,77.252766,31.182427,44.448598,59.124934,101.129155,114.678754,127.161227,62.813801,78.092355,91.841173,0.000000,0.000000,0.000000
corporativo_pesado,12,1,365,300,94.342834,108.312700,120.763064,64.406214,76.468908,88.485560,46.365450,57.621681,69.438741,115.350665,125.769659,135.920961,78.591176,90.152318,101.469400,0.000000,0.000000,0.000000
corporativo_pesado,12,7,365,300,94.119653,108.034930,120.576250,64.110780,75.764998,88.253440,45.728682,57.116514,68.641127,114.828692,125.144426,135.681014,77.935942,89.575350,101.366132,0.000000,0.000000,0.000000
psp_dominante,8,1,365,300,162.659162,178.605027,190.724630,83.618082,96.440472,110.591219,67.397218,79.126233,92.567265,220.654714,220.843719,221.037935,110.691451,121.665486,134.353553,0.000000,0.000000,0.000000
psp_dominante,8,7,365,300,163.144883,180.360086,192.475822,83.651611,96.360656,110.550380,67.347424,78.964476,92.548687,220.654229,220.840246,221.040530,109.793812,120.445868,132.720481,0.000000,0.000000,0.000000
psp_dominante,12,1,365,300,180.768745,189.761620,197.890373,81.070372,91.923004,101.490578,62.967007,73.578412,83.133948,220.958395,221.113059,221.271031,97.830619,108.589821,119.078427,0.000000,0.000000,0.000000
psp_dominante,12,7,365,300,181.262394,191.278802,199.510007,80.996488,91.268407,101.434902,62.710290,73.038513,82.525431,220.949156,221.106196,221.264705,97.413019,107.565849,117.277961,0.000000,0.000000,0.000000
outbound_extremo,8,1,365,300,22.338154,27.574880,32.534841,7.914025,10.009863,12.275124,4.035045,5.354384,6.839511,118.641641,128.557367,138.740250,44.350296,49.228437,54.979502,0.000000,0.000000,0.000000
outbound_extremo,8,7,365,300,22.490617,27.768631,32.812175,7.880680,9.908959,12.256103,3.892667,5.284064,6.808809,119.854687,129.702741,139.710341,44.147690,48.951129,54.865360,0.000000,0.000000,0.000000
outbound_extremo,12,1,365,300,20.476526,24.341667,28.318260,7.042998,8.737182,10.661295,3.570153,4.662368,6.007798,121.831850,130.846040,140.433083,44.239846,49.497104,55.293647,0.000000,0.000000,0.000000
outbound_extremo,12,7,365,300,20.640961,24.416594,28.531044,7.012774,8.679464,10.653745,3.525216,4.645267,5.987051,122.443711,131.110728,141.331015,44.197052,49.452910,55.201975,0.000000,0.000000,0.000000
