# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,economia_base_bps,economia_piso_bps,economia_combinada_severa_bps,carry_break_even_base_bps,carry_break_even_piso_bps,spread_minimo_no_piso_bps
equilibrado,8,1,365,1,119.991020,34.672207,17.504959,150.780161,46.413108,0.000000
equilibrado,8,7,365,1,121.180697,35.071065,17.816394,151.484391,46.683652,0.000000
equilibrado,8,1,365,2,125.224803,45.476158,29.110060,164.680992,62.352291,0.000000
equilibrado,8,7,365,2,125.723175,45.329925,28.962777,165.310124,62.160922,0.000000
equilibrado,8,1,365,3,135.589284,61.881413,43.977821,163.039313,76.583741,0.000000
equilibrado,8,7,365,3,139.357213,60.839101,42.638758,164.793754,74.197640,0.000000
equilibrado,8,1,365,4,134.516121,41.477530,23.858278,164.326814,53.436159,0.000000
equilibrado,8,7,365,4,135.356480,41.528243,23.859515,164.876668,53.358001,0.000000
equilibrado,8,1,365,5,124.767174,31.720781,15.263669,163.208411,44.477114,0.000000
equilibrado,8,7,365,5,127.152607,32.105843,15.528485,165.075411,44.671300,0.000000
equilibrado,8,1,365,6,133.485152,31.785165,13.578291,157.963179,40.661343,0.000000
equilibrado,8,7,365,6,134.614697,31.667287,13.356946,158.388640,40.318987,0.000000
equilibrado,8,1,365,7,126.558057,37.356996,20.133321,158.306163,49.547591,0.000000
equilibrado,8,7,365,7,128.223131,37.705932,20.444142,159.991108,49.871521,0.000000
equilibrado,8,1,365,8,119.852847,40.078831,22.437991,146.675167,51.710622,0.000000
equilibrado,8,7,365,8,121.349854,39.809678,22.106237,147.946419,51.222640,0.000000
equilibrado,8,1,365,9,136.071511,62.782596,45.818439,172.443485,81.718835,0.000000
equilibrado,8,7,365,9,136.930566,59.641475,42.566690,172.408673,77.352079,0.000000
equilibrado,8,1,365,10,132.294172,49.075499,31.647221,163.406317,63.132950,0.000000
equilibrado,8,7,365,10,132.795225,48.654003,31.218144,163.940484,62.599582,0.000000
equilibrado,8,1,365,11,108.521758,36.984507,22.392825,160.181920,57.227218,0.000000
equilibrado,8,7,365,11,110.671749,36.538786,21.817261,161.871330,56.121944,0.000000
equilibrado,8,1,365,12,126.615284,39.539177,21.549359,151.801438,50.155148,0.000000
equilibrado,8,7,365,12,127.254300,39.605157,21.534447,151.882419,50.025214,0.000000
equilibrado,8,1,365,13,142.867894,43.894963,25.837273,170.146709,55.047183,0.000000
equilibrado,8,7,365,13,145.951664,43.999574,25.634885,170.895554,54.313461,0.000000
equilibrado,8,1,365,14,126.226668,44.695636,28.589791,168.583729,62.277499,0.000000
equilibrado,8,7,365,14,127.379112,44.282359,28.122292,169.529100,61.544906,0.000000
equilibrado,8,1,365,15,123.457600,45.365345,27.917978,152.596037,58.602637,0.000000
equilibrado,8,7,365,15,125.699155,45.145529,27.607988,154.516099,58.058668,0.000000
equilibrado,8,1,365,16,132.530356,42.422017,24.748522,161.475218,54.406688,0.000000
equilibrado,8,7,365,16,134.714636,43.606731,25.710804,162.081074,55.170378,0.000000
equilibrado,8,1,365,17,116.752257,40.715310,24.514482,155.337783,56.776409,0.000000
equilibrado,8,7,365,17,118.154363,40.683344,24.398516,156.365234,56.462957,0.000000
equilibrado,8,1,365,18,126.300343,32.949029,16.179479,162.162098,45.261072,0.000000
equilibrado,8,7,365,18,128.870405,32.570113,15.588442,163.364676,44.277095,0.000000
equilibrado,8,1,365,19,138.835836,51.961960,34.395712,169.974689,66.119194,0.000000
equilibrado,8,7,365,19,139.493322,52.058266,34.435780,170.228520,66.035718,0.000000
equilibrado,8,1,365,20,121.361587,32.912335,16.543990,159.702567,46.225346,0.000000
equilibrado,8,7,365,20,124.455962,33.240619,16.586317,160.930936,45.914276,0.000000
equilibrado,8,1,365,21,119.260280,43.047239,27.161432,161.654306,60.905641,0.000000
equilibrado,8,7,365,21,120.773660,43.204205,27.286688,163.336840,60.999362,0.000000
equilibrado,8,1,365,22,111.378658,34.023902,19.359770,163.501552,52.724461,0.000000
equilibrado,8,7,365,22,112.421417,33.280889,18.579356,164.585278,51.539170,0.000000
equilibrado,8,1,365,23,127.969957,30.916441,13.249603,156.113757,40.749376,0.000000
equilibrado,8,7,365,23,130.538875,31.072584,13.224579,157.592313,40.560068,0.000000
equilibrado,8,1,365,24,121.860444,45.666624,29.387781,161.202163,62.910765,0.000000
equilibrado,8,7,365,24,121.431759,45.104438,28.754048,159.963677,61.930923,0.000000
equilibrado,8,1,365,25,116.065004,36.154496,19.498157,150.332581,49.582911,0.000000
equilibrado,8,7,365,25,117.360479,35.533434,18.795174,151.241712,48.580626,0.000000
equilibrado,8,1,365,26,128.112540,42.472249,24.979060,157.794905,54.986543,0.000000
equilibrado,8,7,365,26,130.297854,42.419988,24.877344,159.977339,54.780245,0.000000
equilibrado,8,1,365,27,128.096233,41.206000,24.129787,161.530296,54.674350,0.000000
equilibrado,8,7,365,27,129.698108,41.545416,24.390663,162.770008,54.857843,0.000000
equilibrado,8,1,365,28,138.107008,45.089209,27.625546,170.073244,58.219633,0.000000
equilibrado,8,7,365,28,138.426805,44.266145,26.742926,169.892060,57.048988,0.000000
equilibrado,8,1,365,29,132.746832,43.436652,26.065578,164.478475,56.510840,0.000000
equilibrado,8,7,365,29,134.083947,42.729282,25.307682,165.624816,55.505885,0.000000
equilibrado,8,1,365,30,117.380673,38.480961,20.936112,144.496743,50.059112,0.000000
