# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,finalidade,direcao,n_sementes,aliquota_base,iof_evitado_bps_base_p10,iof_evitado_bps_base_p50,iof_evitado_bps_base_p90,delta_bps_por_1bp_aliquota_p10,delta_bps_por_1bp_aliquota_p50,delta_bps_por_1bp_aliquota_p90
equilibrado,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,2.226718,2.840386,3.500495,0.05859784,0.07474700,0.09211830
equilibrado,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,47.153550,56.154847,67.753501,0.13472443,0.16044242,0.19358143
equilibrado,8,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,3.787092,4.776216,5.739379,0.09966032,0.12568989,0.15103629
equilibrado,8,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,3.820643,5.069854,6.394193,0.10054323,0.13341722,0.16826823
equilibrado,8,1,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,14.466511,23.684298,33.598043,0.04133289,0.06766942,0.09599441
equilibrado,8,1,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.15084469,0.18617519,0.22599597
equilibrado,8,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,10.768453,14.432616,18.879919,0.03076701,0.04123605,0.05394263
equilibrado,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,2.392034,2.991181,3.712731,0.06294826,0.07871529,0.09770345
equilibrado,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,49.480004,58.283925,69.532925,0.14137144,0.16652550,0.19866550
equilibrado,8,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,3.703799,4.750651,5.663348,0.09746840,0.12501714,0.14903546
equilibrado,8,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,3.794658,5.046964,6.353722,0.09985942,0.13281484,0.16720321
equilibrado,8,7,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,14.242812,23.393057,33.407889,0.04069375,0.06683731,0.09545111
equilibrado,8,7,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.15045841,0.18541960,0.22521980
equilibrado,8,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,10.623029,14.343144,18.459421,0.03035151,0.04098041,0.05274120
equilibrado,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.982950,2.389175,3.023498,0.05218289,0.06287303,0.07956575
equilibrado,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,30.404676,37.055415,45.622283,0.08687050,0.10587262,0.13034938
equilibrado,12,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,5.118317,5.987470,6.973978,0.13469256,0.15756500,0.18352573
equilibrado,12,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,6.548540,7.799083,9.282576,0.17233001,0.20523903,0.24427831
equilibrado,12,1,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,21.406926,31.250546,40.745452,0.06116264,0.08928727,0.11641558
equilibrado,12,1,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.11104409,0.13726773,0.17026519
equilibrado,12,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,15.907996,19.267826,23.218199,0.04545142,0.05505093,0.06633771
equilibrado,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,2.058457,2.506799,3.094544,0.05416992,0.06596841,0.08143537
equilibrado,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,32.323249,39.111319,47.691627,0.09235214,0.11174663,0.13626179
equilibrado,12,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,5.051202,5.916610,6.957535,0.13292638,0.15570027,0.18309304
equilibrado,12,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,6.527336,7.799083,9.276843,0.17177199,0.20523903,0.24412743
equilibrado,12,7,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,21.112693,30.510511,39.928855,0.06032198,0.08717289,0.11408244
equilibrado,12,7,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.11104409,0.13722028,0.17061789
equilibrado,12,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,15.816784,19.120688,23.037398,0.04519081,0.05463054,0.06582114
retail_pesado,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,5.077617,5.960412,6.860883,0.13362149,0.15685295,0.18054956
