# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,finalidade,direcao,aliquota_base,delta_volume_remetido_brl,iof_evitado_brl_base,iof_evitado_bps_base,delta_bps_por_1bp_aliquota
equilibrado,8,1,365,1,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,35692922.15,135633.104170,3.938141,0.10363529
equilibrado,8,1,365,1,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,56808261.93,1988289.167550,57.730474,0.16494421
equilibrado,8,1,365,1,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,55024038.60,209091.346680,6.071020,0.15976367
equilibrado,8,1,365,1,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,41613272.14,158130.434132,4.591357,0.12082518
equilibrado,8,1,365,1,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,15346727.78,537135.472300,15.595863,0.04455961
equilibrado,8,1,365,1,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,63468921.29,0.000000,0.000000,0.18428360
equilibrado,8,1,365,1,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13596087.27,475863.054450,13.816803,0.03947658
equilibrado,8,7,365,1,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,36423271.24,138408.430712,4.018723,0.10575588
equilibrado,8,7,365,1,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,57512757.43,2012946.510050,58.446406,0.16698973
equilibrado,8,7,365,1,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,54706927.44,207886.324272,6.036031,0.15884293
equilibrado,8,7,365,1,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,41613272.14,158130.434132,4.591357,0.12082518
equilibrado,8,7,365,1,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,15751026.80,551285.938000,16.006725,0.04573350
equilibrado,8,7,365,1,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,63455520.03,0.000000,0.000000,0.18424469
equilibrado,8,7,365,1,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13521351.74,473247.310900,13.740854,0.03925958
equilibrado,8,1,365,2,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,23810515.89,90479.960382,2.630880,0.06923368
