# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_produto_bps_p10,economia_produto_bps_p50,economia_produto_bps_p90,iof_evitado_bps_p10,iof_evitado_bps_p50,iof_evitado_bps_p90,spread_evitado_bps_p10,spread_evitado_bps_p50,spread_evitado_bps_p90,fixo_evitado_bps_p10,fixo_evitado_bps_p50,fixo_evitado_bps_p90,carry_criado_bps_p10,carry_criado_bps_p50,carry_criado_bps_p90,espera_criada_bps_p10,espera_criada_bps_p50,espera_criada_bps_p90,participacao_iof_p10,participacao_iof_p50,participacao_iof_p90,participacao_spread_p10,participacao_spread_p50,participacao_spread_p90,participacao_fixo_p10,participacao_fixo_p50,participacao_fixo_p90,participacao_carry_p10,participacao_carry_p50,participacao_carry_p90,taxa_netabilidade_pool_p10,taxa_netabilidade_pool_p50,taxa_netabilidade_pool_p90,delta_bps_por_1bp_spread_p10,delta_bps_por_1bp_spread_p50,delta_bps_por_1bp_spread_p90,delta_bps_por_1real_fixo_p10,delta_bps_por_1real_fixo_p50,delta_bps_por_1real_fixo_p90,delta_bps_por_1bp_carry_p10,delta_bps_por_1bp_carry_p50,delta_bps_por_1bp_carry_p90,delta_bps_por_1bp_oportunidade_aa_p10,delta_bps_por_1bp_oportunidade_aa_p50,delta_bps_por_1bp_oportunidade_aa_p90
equilibrado,8,1,365,300,114.664591,126.211607,136.512447,97.664594,108.467322,117.988904,18.514042,19.953635,21.185354,0.977397,1.069866,1.157861,-3.389657,-3.192072,-2.962247,0.000000,0.000000,0.000000,0.850221,0.858856,0.866597,0.148954,0.157848,0.167941,0.007570,0.008463,0.009548,-0.026870,-0.025254,-0.023833,0.740562,0.798145,0.847414,0.740562,0.798145,0.847414,0.024435,0.026747,0.028947,-0.847414,-0.798018,-0.740562,-0.012993,-0.009587,-0.007082
equilibrado,8,7,365,300,116.754075,127.617196,138.138598,99.684173,109.731339,119.233568,18.699330,20.125526,21.312737,0.985210,1.078329,1.165464,-3.410038,-3.219661,-2.991893,0.000000,0.000000,0.000000,0.851265,0.859744,0.867288,0.148316,0.156873,0.166865,0.007498,0.008418,0.009447,-0.026698,-0.025097,-0.023731,0.747973,0.805021,0.852509,0.747973,0.805021,0.852509,0.024630,0.026958,0.029137,-0.852509,-0.804915,-0.747973,-0.014109,-0.010557,-0.008161
equilibrado,12,1,365,300,111.984793,123.143135,133.944207,93.884867,104.747009,114.482158,19.049489,20.590100,21.849454,1.167346,1.248471,1.354498,-3.495913,-3.293901,-3.047918,0.000000,0.000000,0.000000,0.840340,0.850212,0.857255,0.158214,0.166660,0.177404,0.009179,0.010221,0.011455,-0.028385,-0.026656,-0.025314,0.761980,0.823604,0.873978,0.761980,0.823604,0.873978,0.029184,0.031212,0.033862,-0.873978,-0.823475,-0.761980,-0.011454,-0.009308,-0.007321
equilibrado,12,7,365,300,113.311514,124.791119,135.462320,95.678399,106.140330,115.825025,19.118382,20.665336,21.962906,1.173678,1.255018,1.362830,-3.514065,-3.305152,-3.058941,0.000000,0.000000,0.000000,0.841503,0.850850,0.857961,0.157505,0.165790,0.176076,0.009136,0.010131,0.011333,-0.028172,-0.026506,-0.025201,0.764735,0.826613,0.878516,0.764735,0.826613,0.878516,0.029342,0.031375,0.034071,-0.878516,-0.826288,-0.764735,-0.012451,-0.010401,-0.008421
retail_pesado,8,1,365,300,108.912975,122.649312,135.100100,93.144641,105.670889,117.141972,12.003175,13.617383,15.095615,5.133106,5.546060,6.001916,-2.415298,-2.178435,-1.920508,0.000000,0.000000,0.000000,0.855975,0.861313,0.866014,0.110306,0.110994,0.111600,0.040242,0.045490,0.051368,-0.017856,-0.017758,-0.017649,0.480127,0.544695,0.603825,0.480127,0.544695,0.603825,0.128328,0.138652,0.150048,-0.603825,-0.544609,-0.480127,-0.006155,-0.004592,-0.003571
retail_pesado,8,7,365,300,109.107936,123.337820,136.034807,93.290937,106.272331,117.627362,12.022028,13.694888,15.158165,5.136844,5.550208,6.004146,-2.425306,-2.190287,-1.923524,0.000000,0.000000,0.000000,0.856309,0.861589,0.866188,0.110349,0.111030,0.111622,0.040050,0.045158,0.050997,-0.017860,-0.017764,-0.017656,0.480881,0.547796,0.606327,0.480881,0.547796,0.606327,0.128421,0.138755,0.150104,-0.606327,-0.547572,-0.480881,-0.006458,-0.004954,-0.003889
retail_pesado,12,1,365,300,109.392253,120.515973,131.900058,93.007981,103.219655,113.331957,11.985565,13.301502,14.604634,5.816712,6.172183,6.567990,-2.336741,-2.128068,-1.917690,0.000000,0.000000,0.000000,0.850498,0.856276,0.860941,0.109600,0.110345,0.110946,0.045864,0.051059,0.057438,-0.017751,-0.017655,-0.017536,0.479423,0.532060,0.584185,0.479423,0.532060,0.584185,0.145418,0.154305,0.164200,-0.584185,-0.532017,-0.479423,-0.005566,-0.004455,-0.003696
retail_pesado,12,7,365,300,109.550733,120.985733,132.395837,93.270733,103.706063,113.521259,12.019424,13.364183,14.629028,5.818085,6.170707,6.576348,-2.340645,-2.137082,-1.923108,0.000000,0.000000,0.000000,0.850587,0.856364,0.861155,0.109612,0.110356,0.110974,0.045627,0.050964,0.057339,-0.017756,-0.017656,-0.017538,0.480777,0.534567,0.585161,0.480777,0.534567,0.585161,0.145452,0.154268,0.164409,-0.585161,-0.534271,-0.480777,-0.005640,-0.004617,-0.003858
corporativo_pesado,8,1,365,300,78.661137,93.458954,108.342611,61.468912,75.463616,89.597229,19.567537,21.126225,22.584570,0.223377,0.245306,0.265843,-3.613531,-3.379910,-3.130806,0.000000,0.000000,0.000000,0.780771,0.807986,0.828633,0.201331,0.225411,0.257306,0.002240,0.002624,0.003125,-0.041169,-0.036041,-0.032213,0.782701,0.845049,0.903383,0.782701,0.845049,0.903383,0.005584,0.006133,0.006646,-0.903383,-0.844978,-0.782701,-0.021697,-0.016980,-0.013055
corporativo_pesado,8,7,365,300,78.396790,93.278632,108.388548,61.143414,75.262065,89.561498,19.615193,21.139574,22.606507,0.224397,0.245907,0.267060,-3.617041,-3.380915,-3.138431,0.000000,0.000000,0.000000,0.780771,0.807575,0.827217,0.202986,0.225916,0.257389,0.002242,0.002636,0.003146,-0.041182,-0.036141,-0.032478,0.784608,0.845583,0.904260,0.784608,0.845583,0.904260,0.005610,0.006148,0.006677,-0.904260,-0.845229,-0.784608,-0.026665,-0.022749,-0.019054
