# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,volume_bruto_brl,custo_sem_pool_brl,custo_pool_brl,economia_produto_brl,economia_produto_bps,taxa_netabilidade_pool,n_remessas_sem_pool,n_remessas_pool,delta_remessas,delta_bps_por_1bp_spread,delta_bps_por_1real_fixo,delta_bps_por_1bp_carry,delta_bps_por_1bp_oportunidade_aa,iof_evitado_brl,iof_evitado_bps,spread_evitado_brl,spread_evitado_bps,fixo_evitado_brl,fixo_evitado_bps,carry_criado_brl,carry_criado_bps,espera_criada_brl,espera_criada_bps,participacao_iof,participacao_spread,participacao_fixo,participacao_carry
equilibrado,8,1,365,1,344408946.38,5696821.34,1564223.28,4132598.06,119.991020,0.817488,1032,102,930,0.817488,0.027003,-0.817488,-0.007952,3504142.58,101.743657,703875.58,20.437204,37200.00,1.080111,-112620.09,-3.269953,0.00,0.000000,0.847927,0.170323,0.009002,-0.027252
equilibrado,8,7,365,1,344408946.38,5696821.34,1523249.73,4173571.61,121.180697,0.821651,1032,97,935,0.821651,0.027148,-0.821651,-0.008868,3541904.95,102.840097,707460.32,20.541287,37400.00,1.085918,-113193.65,-3.286606,0.00,0.000000,0.848651,0.169510,0.008961,-0.027122
equilibrado,8,1,365,2,343915233.23,6585145.89,2278474.15,4306671.74,125.224803,0.779338,956,115,841,0.779338,0.024454,-0.779338,-0.010288,3710176.93,107.880564,670065.25,19.483442,33640.00,0.978148,-107210.44,-3.117351,0.00,0.000000,0.861495,0.155588,0.007811,-0.024894
equilibrado,8,7,365,2,343915233.23,6585145.89,2261334.37,4323811.52,125.723175,0.779388,956,111,845,0.779388,0.024570,-0.779388,-0.011113,3727120.64,108.373235,670108.19,19.484691,33800.00,0.982800,-107217.31,-3.117550,0.00,0.000000,0.861999,0.154981,0.007817,-0.024797
equilibrado,8,1,365,3,353008406.04,6123579.43,1337163.74,4786415.69,135.589284,0.852552,979,91,888,0.852552,0.025155,-0.852552,-0.008269,4118883.73,116.679480,752395.20,21.313804,35520.00,1.006208,-120383.23,-3.410209,0.00,0.000000,0.860536,0.157194,0.007421,-0.025151
equilibrado,8,7,365,3,353008406.04,6123579.43,1204152.66,4919426.77,139.357213,0.866683,979,78,901,0.866683,0.025523,-0.866683,-0.009498,4240899.41,120.135933,764865.90,21.667073,36040.00,1.020939,-122378.54,-3.466732,0.00,0.000000,0.862072,0.155479,0.007326,-0.024877
equilibrado,8,1,365,4,358280268.46,6128347.39,1308900.21,4819447.18,134.516121,0.839012,1032,83,949,0.839012,0.026488,-0.839012,-0.010819,4150224.23,115.837365,751503.52,20.975297,37960.00,1.059506,-120240.56,-3.356048,0.00,0.000000,0.861141,0.155931,0.007876,-0.024949
equilibrado,8,7,365,4,358280268.46,6128347.39,1278791.81,4849555.58,135.356480,0.841368,1032,79,953,0.841368,0.026599,-0.841368,-0.011649,4178399.85,116.623778,753613.97,21.034202,38120.00,1.063972,-120578.24,-3.365472,0.00,0.000000,0.861605,0.155399,0.007861,-0.024864
equilibrado,8,1,365,5,287130912.81,4716417.86,1133966.62,3582451.24,124.767174,0.783672,983,107,876,0.783672,0.030509,-0.783672,-0.011453,3074876.58,107.089709,562541.27,19.591804,35040.00,1.220349,-90006.60,-3.134689,0.00,0.000000,0.858316,0.157027,0.009781,-0.025124
equilibrado,8,7,365,5,287130912.81,4716417.86,1065473.45,3650944.41,127.152607,0.789398,983,93,890,0.789398,0.030996,-0.789398,-0.012892,3139357.51,109.335407,566651.07,19.734938,35600.00,1.239853,-90664.17,-3.157590,0.00,0.000000,0.859875,0.155207,0.009751,-0.024833
