# Nivel absoluto NAO e cotacao. Duas celulas da tabela de aliquotas carregam 34,5%
# do volume e nao foram verificadas em norma: BENS_SERVICOS OUT (0,38% no codigo,
# comentario admite que bens isento e servicos foram colapsados) e ATIVOS_VIRTUAIS
# OUT (3,5% por fallback, marcado INCERTO no proprio codigo). A margem de erro do
# nivel e de cerca de 2x. A FORMA das curvas nao depende dessas celulas.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_bps_p10,economia_bps_p50,economia_bps_p90,dias_espera_p90_volume_casado_p50,dias_espera_p90_volume_remetido_p50,pct_volume_espera_truncada_p50,fracao_in_realizada_p50
equilibrado,2,1,365,300,82.29,99.57,119.31,16.00,23.00,0.016828,0.527285
equilibrado,2,7,365,300,82.43,100.77,120.02,16.00,23.00,0.016828,0.527285
equilibrado,3,1,365,300,52.27,63.31,76.69,9.00,10.00,0.017469,0.378152
equilibrado,3,7,365,300,54.98,66.96,79.47,10.00,10.00,0.017469,0.378152
equilibrado,4,1,365,300,73.81,86.10,99.89,11.00,11.00,0.024738,0.426522
equilibrado,4,7,365,300,77.83,89.92,102.44,12.00,16.00,0.024738,0.426522
equilibrado,6,1,365,300,96.84,110.49,123.50,11.00,18.00,0.027235,0.432768
equilibrado,6,7,365,300,98.50,112.15,125.01,12.00,18.00,0.027235,0.432768
equilibrado,8,1,365,300,114.66,126.21,136.51,11.00,17.00,0.025290,0.463066
equilibrado,8,7,365,300,116.75,127.62,138.14,12.00,18.00,0.025290,0.463066
equilibrado,12,1,365,300,111.98,123.14,133.94,9.00,17.00,0.028356,0.436141
equilibrado,12,7,365,300,113.31,124.79,135.46,10.00,18.00,0.028356,0.436141
equilibrado,16,1,365,300,110.74,119.92,129.15,8.00,16.00,0.028831,0.432541
equilibrado,16,7,365,300,112.27,121.06,130.63,9.00,17.00,0.028831,0.432541
equilibrado,24,1,365,300,119.86,129.50,139.12,9.00,18.00,0.029995,0.435307
equilibrado,24,7,365,300,120.26,130.28,139.67,9.00,18.00,0.029995,0.435307
equilibrado,32,1,365,300,127.11,135.66,143.24,8.00,18.00,0.029397,0.443639
equilibrado,32,7,365,300,127.58,136.01,143.53,8.00,18.00,0.029397,0.443639
retail_pesado,2,1,365,300,51.79,58.60,64.52,6.00,7.00,0.010201,0.100943
retail_pesado,2,7,365,300,51.79,58.60,64.54,6.00,7.00,0.010201,0.100943
retail_pesado,3,1,365,300,61.30,71.84,83.60,4.00,4.00,0.002265,0.257110
retail_pesado,3,7,365,300,61.53,71.97,83.76,4.00,4.00,0.002265,0.257110
