# Nivel absoluto NAO e cotacao. Duas celulas da tabela de aliquotas carregam 34,5%
# do volume e nao foram verificadas em norma: BENS_SERVICOS OUT (0,38% no codigo,
# comentario admite que bens isento e servicos foram colapsados) e ATIVOS_VIRTUAIS
# OUT (3,5% por fallback, marcado INCERTO no proprio codigo). A margem de erro do
# nivel e de cerca de 2x. A FORMA das curvas nao depende dessas celulas.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,n_ordens,n_ciclos,volume_bruto_brl,volume_casado_brl,volume_residuo_brl,taxa_netabilidade,teto_netabilidade,eficiencia_vs_teto,limite_intra_cliente_brl,volume_casado_incremental_brl,taxa_netabilidade_incremental,baseline_total_brl,baseline_iof_brl,baseline_carry_brl,baseline_spread_brl,baseline_espera_brl,baseline_fixo_brl,netado_total_brl,netado_iof_brl,netado_carry_brl,netado_spread_brl,netado_espera_brl,netado_fixo_brl,economia_brl,economia_pct,economia_por_ordem_brl,dias_espera_p90_volume_casado,dias_espera_p90_volume_remetido,dias_espera_media_por_real,pct_volume_espera_truncada,economia_bps,fracao_in_realizada
equilibrado,2,1,365,1,226,290,109134156.41,59242890.12,49891266.29,0.542845,0.924284,0.587313,56874931.30,2367958.82,0.02,1969659.40,1687784.01,0.00,272835.39,0.00,9040.00,939118.86,786693.54,23697.16,124728.17,0.00,4000.00,1030540.54,0.523207,4559.91,13.00,16.00,4.27,0.092629,94.43,0.537858
equilibrado,2,7,365,1,226,149,109134156.41,59242890.12,49891266.29,0.542845,0.924284,0.587313,56874931.30,2367958.82,0.02,1969659.40,1687784.01,0.00,272835.39,0.00,9040.00,936694.93,784349.60,23697.16,124728.17,0.00,3920.00,1032964.48,0.524438,4570.64,13.00,16.00,4.60,0.092629,94.65,0.537858
equilibrado,2,1,365,2,213,313,105362708.90,53646455.70,51716253.20,0.509160,0.970691,0.524533,34951960.90,18694494.80,0.18,2213352.44,1941425.67,0.00,263406.77,0.00,8520.00,1162632.55,1008243.34,21458.58,129290.63,0.00,3640.00,1050719.89,0.474719,4932.96,22.00,24.00,5.57,0.000000,99.72,0.485345
equilibrado,2,7,365,2,213,141,105362708.90,53646455.70,51716253.20,0.509160,0.970691,0.524533,34951960.90,18694494.80,0.18,2213352.44,1941425.67,0.00,263406.77,0.00,8520.00,1160493.67,1006184.46,21458.58,129290.63,0.00,3560.00,1052858.77,0.475685,4943.00,22.00,25.00,5.81,0.000000,99.93,0.485345
equilibrado,2,1,365,3,179,316,82468612.96,47909031.20,34559581.76,0.580937,0.818269,0.709958,43853251.60,4055779.60,0.05,1305298.89,1091967.36,0.00,206171.53,0.00,7160.00,458214.81,349812.24,19163.61,86398.95,0.00,2840.00,847084.08,0.648958,4732.31,16.00,25.00,5.90,0.006776,102.72,0.590865
equilibrado,2,7,365,3,179,123,82468612.96,47909031.20,34559581.76,0.580937,0.818269,0.709958,43853251.60,4055779.60,0.05,1305298.89,1091967.36,0.00,206171.53,0.00,7160.00,440816.49,332453.92,19163.61,86398.95,0.00,2800.00,864482.40,0.662287,4829.51,16.00,25.00,6.42,0.006776,104.83,0.590865
equilibrado,2,1,365,4,210,305,87969702.96,57996193.06,29973509.90,0.659275,0.928741,0.709859,28115018.26,29881174.80,0.34,1630243.40,1401919.14,0.00,219924.26,0.00,8400.00,550554.10,449021.84,23198.48,74933.77,0.00,3400.00,1079689.30,0.662287,5141.38,14.00,29.00,4.68,0.047781,122.73,0.535630
equilibrado,2,7,365,4,210,144,87969702.96,57996193.06,29973509.90,0.659275,0.928741,0.709859,28115018.26,29881174.80,0.34,1630243.40,1401919.14,0.00,219924.26,0.00,8400.00,549904.50,448372.25,23198.48,74933.77,0.00,3400.00,1080338.90,0.662686,5144.47,14.00,29.00,4.94,0.047781,122.81,0.535630
equilibrado,2,1,365,5,208,292,85724644.75,45747294.24,39977350.51,0.533654,0.975436,0.547093,36379528.08,9367766.16,0.11,1772281.18,1549649.57,0.00,214311.61,0.00,8320.00,909807.24,787724.95,18298.92,99943.38,0.00,3840.00,862473.94,0.486646,4146.51,21.00,19.00,4.86,0.000000,100.61,0.487718
equilibrado,2,7,365,5,208,146,85724644.75,45747294.24,39977350.51,0.533654,0.975436,0.547093,36379528.08,9367766.16,0.11,1772281.18,1549649.57,0.00,214311.61,0.00,8320.00,909134.35,787092.05,18298.92,99943.38,0.00,3800.00,863146.83,0.487026,4149.74,21.00,19.00,5.05,0.000000,100.69,0.487718
equilibrado,2,1,365,6,214,325,107641589.44,65321947.02,42319642.42,0.606847,0.913553,0.664271,62081974.56,3239972.46,0.03,1843774.24,1566110.27,0.00,269103.97,0.00,8560.00,693443.78,558195.89,26128.78,105799.11,0.00,3320.00,1150330.46,0.623900,5375.38,19.00,25.00,6.03,0.021288,106.87,0.543223
equilibrado,2,7,365,6,214,142,107641589.44,67142486.56,40499102.88,0.623760,0.913553,0.682784,62081974.56,5060512.00,0.05,1843774.24,1566110.27,0.00,269103.97,0.00,8560.00,659079.46,527814.71,26856.99,101247.76,0.00,3160.00,1184694.78,0.642538,5535.96,19.00,25.00,6.39,0.021288,110.06,0.543223
equilibrado,2,1,365,7,219,297,106129161.41,69549182.06,36579979.35,0.655326,0.948519,0.690893,55346962.14,14202219.92,0.13,1984919.31,1710836.41,0.00,265322.90,0.00,8760.00,856752.83,734283.21,27819.67,91449.95,0.00,3200.00,1128166.48,0.568369,5151.45,13.00,25.00,3.74,0.011289,106.30,0.474260
equilibrado,2,7,365,7,219,140,106129161.41,69756152.18,36373009.23,0.657276,0.948519,0.692949,55346962.14,14409190.04,0.14,1984919.31,1710836.41,0.00,265322.90,0.00,8760.00,850935.58,728940.60,27902.46,90932.52,0.00,3160.00,1133983.73,0.571300,5178.01,14.00,25.00,4.03,0.011289,106.85,0.474260
